image_idx,solver,precond,n_unknown,iterations,elapsed_ms,res0,res1,res2
1,cg,none,4466427,769,25074.9,4.97142,2.93473,1.71486
2,cg,none,3057207,1209,28609.9,4.99524,4.14662,3.50511
3,cg,none,4420731,609,19829.6,4.94674,4.34653,3.83601
4,cg,none,4147343,151,5048.96,4.62967,3.37306,4.93498
1,cg,ilu,4466427,885,48270,4.98117,2.73788,1.61885
2,cg,ilu,3057207,1666,61128,4.99569,4.12928,3.40561
3,cg,ilu,4420731,645,34136.2,4.78243,4.90093,4.98694
4,cg,ilu,4147343,178,9138.86,4.24059,3.39246,4.98837
1,cg,ic,4466427,885,47703.5,4.98103,2.73778,1.61882
2,cg,ic,3057207,1666,60990.8,4.99534,4.12902,3.40553
3,cg,ic,4420731,645,34553.6,4.78231,4.90085,4.98693
4,cg,ic,4147343,178,9421.93,4.24058,3.39244,4.98832
1,cg,jacobi,4466427,458,14165.1,4.9376,2.8628,1.77107
2,cg,jacobi,3057207,771,16900.4,4.97922,4.10757,3.42649
3,cg,jacobi,4420731,340,10311.6,4.99519,4.41885,3.99504
4,cg,jacobi,4147343,94,3261.16,4.7896,3.35528,4.90906
