image_idx,solver,precond,ordering,stop,n_unknown,iterations,elapsed_ms,avg_ms,mem_meas_kb,mem_theo_B,res0,res1,res2
1,cg,none,nat,abs,2080455,93,1416.27,13.0007,440672,150542180,4.48832,3.91225,4.99874
2,cg,none,nat,abs,1999363,90,1372.31,12.5895,468076,145027924,4.9325,3.22244,2.8981
3,cg,none,nat,abs,1810434,75,1382.91,13.2009,463820,132180752,4.9376,3.84791,2.98982
4,cg,none,nat,abs,1806058,99,1465.02,11.8774,458348,131883184,3.99048,3.33249,4.85941
5,cg,none,nat,abs,1916130,122,1935.6,12.7778,468428,139368080,4.94629,4.54669,4.07868
6,cg,none,nat,abs,1700156,112,1653.95,11.6986,455560,124681848,4.87837,4.01989,4.93987
1,cg,jacobi,nat,abs,2080455,57,860.345,11.4463,440616,150542180,4.81482,3.81375,4.18246
2,cg,jacobi,nat,abs,1999363,56,877.602,11.459,467836,145027924,4.77274,3.71664,3.60405
3,cg,jacobi,nat,abs,1810434,49,909.031,10.5809,463556,132180752,4.87377,4.3093,3.79646
4,cg,jacobi,nat,abs,1806058,59,908.178,10.6369,457976,131883184,4.30744,3.89924,4.83267
5,cg,jacobi,nat,abs,1916130,77,1260.28,11.4887,468116,139368080,4.85236,4.86683,4.12901
6,cg,jacobi,nat,abs,1700156,68,1062.25,10.5655,455496,124681848,4.76884,4.09965,4.96956
1,cg,jacobi,rcm,abs,2080455,57,1065.13,13.6506,457864,150542180,4.81482,3.81375,4.18246
2,cg,jacobi,rcm,abs,1999363,56,1045.63,13.1767,459556,145027924,4.77274,3.71664,3.60405
3,cg,jacobi,rcm,abs,1810434,49,1039.03,12.0825,463736,132180752,4.87377,4.3093,3.79646
4,cg,jacobi,rcm,abs,1806058,59,1059.36,12.336,453284,131883184,4.30744,3.89924,4.83267
5,cg,jacobi,rcm,abs,1916130,77,1450.34,13.1869,469668,139368080,4.85236,4.86683,4.12901
6,cg,jacobi,rcm,abs,1700156,68,1233.42,12.3423,458552,124681848,4.76884,4.09965,4.96956
1,cg,ilu0,nat,abs,2080455,121,3175.08,24.327,440664,150542180,4.95434,4.19004,4.9336
2,cg,ilu0,nat,abs,1999363,112,3007.75,24.4882,468364,145027924,4.98132,4.14807,3.97133
3,cg,ilu0,nat,abs,1810434,95,2540.06,22.3481,463860,132180752,4.95118,4.36721,4.11009
4,cg,ilu0,nat,abs,1806058,117,2948.64,22.5962,458364,131883184,4.85618,4.3877,4.92215
5,cg,ilu0,nat,abs,1916130,156,4395.6,25.6106,468480,139368080,4.86476,4.99552,4.18881
6,cg,ilu0,nat,abs,1700156,141,3610.8,22.9908,455804,124681848,4.58522,4.08592,4.89718
1,cg,ilu0,rcm,abs,2080455,102,3481.72,30.9302,457816,150542180,4.82179,4.03181,4.92118
2,cg,ilu0,rcm,abs,1999363,96,3216.45,29.9707,459560,145027924,4.82381,3.83296,3.5301
3,cg,ilu0,rcm,abs,1810434,71,2418.36,27.3997,463928,132180752,4.72455,4.26991,3.81985
4,cg,ilu0,rcm,abs,1806058,100,3170.02,27.9536,453272,131883184,4.94184,4.37378,4.91054
5,cg,ilu0,rcm,abs,1916130,129,4322.46,29.7646,469468,139368080,4.64336,4.37788,3.80703
6,cg,ilu0,rcm,abs,1700156,119,3483.8,25.6108,458812,124681848,4.76423,4.06832,4.98751
1,cg,ic0,nat,abs,2080455,121,3173.99,24.318,440384,150542180,4.95434,4.19004,4.9336
2,cg,ic0,nat,abs,1999363,112,2966.08,24.1941,467788,145027924,4.98132,4.14807,3.97133
3,cg,ic0,nat,abs,1810434,95,2506.76,22.0818,463380,132180752,4.95118,4.36721,4.11009
4,cg,ic0,nat,abs,1806058,117,2899.46,22.1779,457900,131883184,4.85618,4.3877,4.92215
5,cg,ic0,nat,abs,1916130,156,4372.94,25.4365,468272,139368080,4.86476,4.99552,4.18881
6,cg,ic0,nat,abs,1700156,141,3599.16,22.9327,455156,124681848,4.58522,4.08592,4.89718
1,cg,ic0,rcm,abs,2080455,102,3508.19,31.273,458092,150542180,4.82179,4.03181,4.92118
2,cg,ic0,rcm,abs,1999363,96,3302.28,30.6505,459920,145027924,4.82381,3.83296,3.5301
3,cg,ic0,rcm,abs,1810434,71,2413.33,27.2697,464128,132180752,4.72455,4.26991,3.81985
4,cg,ic0,rcm,abs,1806058,100,3124.16,27.628,453428,131883184,4.94184,4.37378,4.91054
5,cg,ic0,rcm,abs,1916130,129,4231.93,29.1815,469556,139368080,4.64336,4.37788,3.80703
6,cg,ic0,rcm,abs,1700156,119,3473.46,25.5424,458800,124681848,4.76423,4.06832,4.98751
