image_idx,solver,precond,ordering,stop,n_unknown,iterations,elapsed_ms,avg_ms,mem_meas_kb,mem_theo_B,res0,res1,res2
1,cg,none,nat,abs,180569,53,123.296,1.47923,38824,13246596,1.25275,1.82983,4.89955
2,cg,none,nat,abs,197505,48,57.2392,0.543235,39504,14398244,4.97293,1.23387,1.428
1,cg,jacobi,nat,abs,180569,31,90.9605,1.45567,38608,13246596,1.6062,2.3372,4.7395
2,cg,jacobi,nat,abs,197505,29,44.8527,0.472065,39284,14398244,4.73423,1.66776,1.79714
1,cg,jacobi,rcm,abs,180569,31,101.848,1.66805,38932,13246596,1.6062,2.3372,4.7395
2,cg,jacobi,rcm,abs,197505,29,51.2469,0.50484,43048,14398244,4.73423,1.66776,1.79714
1,cg,ilu0,nat,abs,180569,60,221.431,2.88747,38788,13246596,1.83896,2.6173,4.76738
2,cg,ilu0,nat,abs,197505,57,166.687,2.32041,39432,14398244,4.85767,2.26821,2.39589
1,cg,ilu0,rcm,abs,180569,42,131.487,1.93688,38712,13246596,1.66862,2.60658,4.70823
2,cg,ilu0,rcm,abs,197505,41,75.7821,0.944642,42756,14398244,3.97891,1.74808,1.81991
1,cg,ic0,nat,abs,180569,60,215.023,2.78349,38860,13246596,1.83896,2.6173,4.76738
2,cg,ic0,nat,abs,197505,57,167.024,2.32684,39504,14398244,4.85767,2.26821,2.39589
1,cg,ic0,rcm,abs,180569,42,129.526,1.89126,38528,13246596,1.66862,2.60658,4.70823
2,cg,ic0,rcm,abs,197505,41,75.9896,0.953868,42644,14398244,3.97891,1.74808,1.81991
