image_idx,solver,precond,ordering,stop,n_unknown,iterations,elapsed_ms,avg_ms,mem_meas_kb,mem_theo_B,res0,res1,res2
1,cg,none,nat,abs,1096901,140,997.023,5.04244,167024,81080244,4.88848,0.683886,1.93899
2,cg,none,nat,abs,1565770,271,2464.94,7.73797,180376,112963336,2.69417,3.09471,4.97922
1,cg,jacobi,nat,abs,1096901,77,635.563,4.47543,167252,81080244,4.9264,0.890585,1.88972
2,cg,jacobi,nat,abs,1565770,157,1447.48,6.89109,180544,112963336,3.2489,3.23412,4.97989
1,cg,jacobi,rcm,abs,1096901,77,742.558,5.30617,167892,81080244,4.9264,0.890585,1.88972
2,cg,jacobi,rcm,abs,1565770,157,1738.13,8.40496,215124,112963336,3.2489,3.23412,4.97989
1,cg,ilu0,nat,abs,1096901,154,2289.73,12.8658,166948,81080244,4.97612,0.957826,1.55731
2,cg,ilu0,nat,abs,1565770,285,5412.06,17.6212,180568,112963336,4.39972,3.42537,4.99846
1,cg,ilu0,rcm,abs,1096901,123,2127.28,14.4879,167576,81080244,4.76161,1.18546,1.44169
2,cg,ilu0,rcm,abs,1565770,238,5807.36,22.5283,214812,112963336,4.45429,3.27423,4.80225
1,cg,ic0,nat,abs,1096901,154,2258.29,12.6604,166892,81080244,4.97612,0.957826,1.55731
2,cg,ic0,nat,abs,1565770,285,5336.97,17.3737,180068,112963336,4.39972,3.42537,4.99846
1,cg,ic0,rcm,abs,1096901,123,2128.58,14.5202,167888,81080244,4.76161,1.18546,1.44169
2,cg,ic0,rcm,abs,1565770,238,5759,22.279,215124,112963336,4.45429,3.27423,4.80225
